"id";"key";"dealer_id";"product_id"
1;"546227";2;12
2;"651265";2;106
3;"546257";2;200
4;"546408";2;38
5;"651258";2;403
6;"546234";2;18
7;"546355";2;39
8;"831859";2;396
9;"832159";2;284
10;"831853";2;276
11;"382756";2;279
12;"546405";2;320
13;"831855";2;249
14;"856995";2;235
15;"856325";2;216
16;"695084";2;293
17;"546406";2;40
18;"831858";2;397
19;"857015";2;236
20;"831854";2;275
21;"382757";2;272
22;"546322";2;123
23;"831857";2;398
24;"382745";2;307
25;"831860";2;402
26;"832157";2;250
27;"831863";2;257
28;"856331";2;234
29;"695083";2;292
30;"716498";2;82
31;"651254";2;286
32;"716499";2;83
33;"717424";2;43
34;"546294";2;133
35;"546360";2;20
36;"831856";2;399
37;"832158";2;258
38;"651268";2;44
39;"651269";2;42
40;"856278";2;217
41;"651259";2;19
42;"651261";2;172
43;"382755";2;246
44;"856324";2;207
45;"546242";2;81
46;"546253";2;72
47;"546258";2;204
48;"716726";2;165
49;"546267";2;178
50;"651253";2;263
51;"716500";2;55
52;"716502";2;52
53;"382752";2;253
54;"382753";2;259
55;"546256";2;74
56;"546261";2;170
57;"697563";2;16
58;"716503";2;62
59;"382754";2;245
60;"728393";2;175
61;"697564";2;121
62;"671830";2;158
63;"671831";2;160
64;"856938";2;230
65;"856407";2;233
66;"856925";2;228
67;"856937";2;229
68;"100156076";3;338
69;"200671203";3;332
70;"200692760";3;356
71;"200692763";3;341
72;"200692766";3;335
73;"200692770";3;344
74;"200692773";3;353
75;"200692779";3;347
76;"200692782";3;350
77;"200671204";3;333
78;"200692759";3;357
79;"200692762";3;342
80;"200692765";3;336
81;"200692771";3;345
82;"200692774";3;354
83;"200692777";3;339
84;"200692780";3;348
85;"200692783";3;351
86;"200671202";3;331
87;"200692761";3;355
88;"200692764";3;340
89;"200692767";3;334
90;"200692769";3;343
91;"200692772";3;352
92;"200692775";3;337
93;"200692778";3;346
94;"200692781";3;349
95;"200671274";3;189
96;"200671275";3;188
97;"100156085";3;190
98;"200671276";3;187
99;"100121642";3;192
100;"200543990";3;191
101;"100121975";3;11
102;"200544528";3;10
103;"100121664";3;8
104;"200544027";3;9
105;"100121646";3;182
106;"200544012";3;181
107;"200394761";3;364
108;"200394764";3;368
109;"200652975";3;376
110;"100070803";3;372
111;"200394762";3;365
112;"200652974";3;373
113;"200671293";3;383
114;"200671291";3;385
115;"100156090";3;384
116;"200671288";3;377
117;"200692786";3;379
